2025-03-14 12:27:13,999 | WARNING  | helper_functions.py:142 | Error: Time index '0.9409409409409409' or column 'Fx' not found.
2025-03-14 12:27:14,002 | WARNING  | helper_functions.py:142 | Error: Time index '0.950950950950951' or column 'Fx' not found.
2025-03-14 12:27:14,004 | WARNING  | helper_functions.py:142 | Error: Time index '0.960960960960961' or column 'Fx' not found.
2025-03-14 12:27:14,007 | WARNING  | helper_functions.py:142 | Error: Time index '0.970970970970971' or column 'Fx' not found.
2025-03-14 12:27:14,010 | WARNING  | helper_functions.py:142 | Error: Time index '0.980980980980981' or column 'Fx' not found.
2025-03-14 12:27:14,013 | WARNING  | helper_functions.py:142 | Error: Time index '0.990990990990991' or column 'Fx' not found.
2025-03-14 12:27:14,015 | WARNING  | helper_functions.py:142 | Error: Time index '1.001001001001001' or column 'Fx' not found.
2025-03-14 12:27:14,018 | WARNING  | helper_functions.py:142 | Error: Time index '1.011011011011011' or column 'Fx' not found.
2025-03-14 12:27:14,021 | WARNING  | helper_functions.py:142 | Error: Time index '1.021021021021021' or column 'Fx' not found.
2025-03-14 12:27:14,024 | WARNING  | helper_functions.py:142 | Error: Time index '1.031031031031031' or column 'Fx' not found.
2025-03-14 12:27:14,027 | WARNING  | helper_functions.py:142 | Error: Time index '1.0410410410410411' or column 'Fx' not found.
2025-03-14 12:27:14,030 | WARNING  | helper_functions.py:142 | Error: Time index '1.0510510510510511' or column 'Fx' not found.
2025-03-14 12:27:14,033 | WARNING  | helper_functions.py:142 | Error: Time index '1.0610610610610611' or column 'Fx' not found.
2025-03-14 12:27:14,036 | WARNING  | helper_functions.py:142 | Error: Time index '1.0710710710710711' or column 'Fx' not found.
2025-03-14 12:27:14,039 | WARNING  | helper_functions.py:142 | Error: Time index '1.0810810810810811' or column 'Fx' not found.
2025-03-14 12:27:14,041 | WARNING  | helper_functions.py:142 | Error: Time index '1.0910910910910911' or column 'Fx' not found.
