speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
83.355936880767,0.273390647836189,6.177,8.94097169240786,5.33855632015118,2,9,9802.8394512045,58.8482761434221,81.012155223855,-33.941158857849,185.559888229424,27.6648589741478,92.8878012371323,0,59.963,1,107.815290816028,1.6,1.56,5.79577867234698,3.75418666900457,0.0974738464185278,6.27323578513388,0.0512805895820784,0,2480.16564114215,
83.5321403817294,0.282589752647366,6.39,8.97881172395939,5.32067173259424,2,9,9823.56136610716,58.7348957823693,81.0269918174197,-34.0848048245583,186.345215850052,27.6965096892934,92.843913634934,0,59.963,1,107.815290816028,1.6,1.56,6.00322755455366,3.76272628278569,0.097212313842542,6.48876617338195,0.064441441603334,0,2480.02199517544,
83.7073799891083,0.291769452778307,6.603,9.01652400750134,5.30275150843821,2,9,9844.16992502822,58.622135650778,81.041092778576,-34.2279658422446,187.127892203324,27.7295836791496,92.8000344550223,0,59.963,1,107.815290816028,1.6,1.56,6.21070804825224,3.77122488248734,0.096949929401043,6.70421474465477,0.078380450148089,0,2479.87883415776,
83.8816606057006,0.300929935403612,6.816,9.05410829730024,5.2847960491759,2,9,9864.66570454726,58.5099925938817,81.0544692445486,-34.3706409780699,187.907912189316,27.764079772184,92.7561649475277,0,59.963,1,107.815290816028,1.6,1.56,6.41822016116055,3.77968266417773,0.0966866991293563,6.91957868854509,0.0930973145912181,0,2479.73615902193,
84.0549870736257,0.310071385327982,7.029,9.09156435041755,5.26680575714156,2,9,9885.04927410805,58.398463495958,81.06713221676,-34.5128293098059,188.68527076611,27.7999967414701,92.7123063647477,0,59.963,1,107.815290816028,1.6,1.56,6.62576390057145,3.78809982104677,0.096422625887797,7.13485519574995,0.108591724157501,0,2479.59397069019,
84.2273641755366,0.319193985029631,7.242,9.12889192671703,5.24878103551255,2,9,9905.32119616099,58.2875452795483,81.0790925630212,-34.6545299258625,189.459962949946,27.8373333039203,92.6684599610846,0,59.963,1,107.815290816028,1.6,1.56,6.83333927336708,3.79647654375036,0.0961577158829991,7.35004145810734,0.124863357925676,0,2479.45227007414,
84.3987966358038,0.328297914702676,7.455,9.16609078887198,5.23072228831113,2,9,9925.48202630232,58.177234904697,81.0903610196696,-34.7957419253149,190.231983815373,27.8760881195285,92.6246269929808,0,59.963,1,107.815290816028,1.6,1.56,7.04094628600162,3.80481302028274,0.0958919732889063,7.56513466863283,0.141911884832632,0,2479.31105807469,
84.5692891216715,0.337383352298533,7.668,9.20316070237253,5.2126299204062,2,9,9945.53231341011,58.0675293682071,81.1009481936573,-34.9364644179314,191.001328495401,27.9162597906216,92.580808718854,16.189244986777,59.963,1,107.815290816028,1.6,1.56,7.24858494451555,3.81310943607411,0.0956254028358279,7.78013202155621,0.159736963677723,0,2479.17033558207,
84.7388462443877,0.346450473566358,7.881,9.24010143553286,5.19450433751515,2,9,9965.47259977714,57.9584257029131,81.1108645645912,-35.0766965242007,191.76799218165,27.9578468611206,92.5370063990314,17.3453421592713,59.963,1,107.815290816028,1.6,1.56,7.45625525453591,3.8213659740784,0.0953580097150618,7.99503071235809,0.178338243127224,0,2479.0301034758,
84.9074725603087,0.355499452092553,8.094,9.27691275949846,5.17634594620582,2,9,9985.30342124083,57.8499209769701,81.1201204867244,-35.2164373753595,192.531970124498,28.000847815811,92.4932212956825,18.4710048940605,59.963,1,107.815290816028,1.6,1.56,7.66395722126253,3.8295828147816,0.095089798677927,8.20982793780652,0.197715361718913,0,2478.89036262464,
85.0751725719787,0.364530459339358,8.307,9.31359444825332,5.1581551538984,2,9,10005.0253073102,57.7326226227359,81.1155335089966,-35.35568611342,193.293257633237,28.045261079622,92.4482266472616,19.5702089652543,59.963,1,107.815290816028,1.6,1.56,7.87169084947179,3.83776013618159,0.0948207737121005,8.42452089599353,0.21786794786679,0,2478.75111388658,
85.2419507291855,0.373543664682564,8.52,9.35014627862709,5.1399323688675,2,9,10024.6387812899,57.58865979551,81.0718820538657,-35.4944418911969,194.051850076215,28.079389705295,92.3996368371926,20.6460804424397,59.963,1,107.815290816028,1.6,1.56,8.07945614352561,3.84589811399613,0.0945509406984048,8.63910678637174,0.238795619865926,0,2478.6123581088,
85.4078114299927,0.382539235448373,8.733,9.38656803030232,5.12167800024424,2,9,10044.1443604018,57.4454889162189,81.0276842119161,-35.6327038723349,194.807742880989,28.080870930893,92.3510149358935,21.7011260517028,59.963,1,107.815290816028,1.6,1.56,8.28725310735425,3.8539969216338,0.0942803046806993,8.85358280979085,0.26049798589744,0,2478.47409612767,
85.5727590217485,0.391517336949412,8.94599999999999,9.42285948582161,5.10339245801835,2,9,10063.5425559036,57.3031062322334,80.9829518097736,-35.7704712313355,195.560931534472,28.0838457928053,92.3023623922838,22.737389194315,59.963,1,107.815290816028,1.6,1.56,8.4950817444635,3.86205673011515,0.0940088692894544,9.06794616853421,0.282974644033617,0,2478.33632876866,
